keyWord,frequency
雷洋,788
共产,637
怀春,304
阶级,274
无眠,248
会主,213
进化论,212
滨湖,182
民党,174
国政,165
便衣,160
罗斯,157
学家,150
野蛮,146
迫害,140
暴政,140
止于,139
宪政,139
止于至善,138
检察,130
加拿,127
范华培,126
邪淫,125
金正,124
外交,116
统治者,115
本主,107
拉里,106
作恶,104
愚民,104
子君,100
共匪,99
察院,95
检察院,95
剥夺,95
看守所,92
公权,89
卖淫,87
奴才,83
马列,83
游行,82
贾敬龙,80
平正,79
公平正义,79
真神,78
知识分子,78
中國,74
刑事,74
美国之音,73
国主,72
我王,71
砖制,70
卫兵,69
公权力,67
奴隶主,67
流沙河,67
声援,67
无所,66
言论自由,66
支那,65
金正恩,65
判决,65
抓捕,65
圣经,64
大规,64
分裂,64
奥巴,64
绝大,63
普世,63
赵威,63
神论,63
脑控,63
国共,61
民运,60
州市,60
左派,60
蒋志山,60
六四,59
梯子,59
求真,59
真主,58
自由民,58
示威,58
常谈,58
独裁者,58
大革,57
民进,57
无神论,57
天安,56
世民,56
李世民,56
专政,56
鹰犬,56
大革命,56
胡某,56
老生常谈,56
老生,56
犹太,55
匪共,55
红卫兵,55
